ano,mes,dia,local,serie,artista,compositor,obra,periodo
2016,setembro,22 e 23,Sala Minas Gerais,Presto/Veloce,"Israel Muniz, oboé d’amore",TAKEMITSU," Vers, l’arc-en-ciel, Palma",CONTEMPORÂNEO
2016,setembro,22 e 23,Sala Minas Gerais,Presto/Veloce,"Israel Muniz, oboé d’amore",RODRIGO, Fantasia para um fidalgo,MODERNO
2016,setembro,22 e 23,Sala Minas Gerais,Presto/Veloce,"Israel Muniz, oboé d’amore",RODRIGO, Fantasia para um fidalgo,MODERNO
2016,setembro,22 e 23,Sala Minas Gerais,Presto/Veloce,"Israel Muniz, oboé d’amore",DUTILLEUX, Sinfonia nº 1,MODERNO
2016,setembro,22 e 23,Sala Minas Gerais,Presto/Veloce,"Israel Muniz, oboé d’amore",DUTILLEUX, Sinfonia nº 1,MODERNO
2016,setembro,22 e 23,Sala Minas Gerais,Presto/Veloce,"Israel Muniz, oboé d’amore",RAVEL, Bolero,MODERNO
2016,setembro,22 e 23,Sala Minas Gerais,Presto/Veloce,"Israel Muniz, oboé d’amore",RAVEL, Bolero,MODERNO
2016,setembro,15 e 16,Sala Minas Gerais,Allegro/Vivace,"Dorian Wilson, regente convidado",MUSSORGSKY, Boris Godunov: Introdução e Polonaise,ROMANTISMO
2016,setembro,15 e 16,Sala Minas Gerais,Allegro/Vivace,"Dorian Wilson, regente convidado",MUSSORGSKY, Boris Godunov: Introdução e Polonaise,ROMANTISMO
2016,setembro,15 e 16,Sala Minas Gerais,Allegro/Vivace,"Dorian Wilson, regente convidado",PROKOFIEV," Concerto para violino nº 1 em Ré maior, op. 19",MODERNO
2016,setembro,15 e 16,Sala Minas Gerais,Allegro/Vivace,"Dorian Wilson, regente convidado",PROKOFIEV," Concerto para violino nº 1 em Ré maior, op. 19",MODERNO
2016,setembro,15 e 16,Sala Minas Gerais,Allegro/Vivace,"Dorian Wilson, regente convidado",SARASATE," Árias Ciganas, op. 20",ROMANTISMO
2016,setembro,15 e 16,Sala Minas Gerais,Allegro/Vivace,"Dorian Wilson, regente convidado",SARASATE," Árias Ciganas, op. 20",ROMANTISMO
2016,setembro,15 e 16,Sala Minas Gerais,Allegro/Vivace,"Dorian Wilson, regente convidado",TCHAIKOVSKY," Sinfonia nº 1 em sol menor, op. 13, “Sonhos de Inverno”",ROMANTISMO
2016,setembro,15 e 16,Sala Minas Gerais,Allegro/Vivace,"Dorian Wilson, regente convidado",TCHAIKOVSKY," Sinfonia nº 1 em sol menor, op. 13, “Sonhos de Inverno”",ROMANTISMO
2016,setembro,15 e 16,Sala Minas Gerais,Allegro/Vivace,"Vadim Gluzman, violino",MUSSORGSKY, Boris Godunov: Introdução e Polonaise,ROMANTISMO
